Player,start,end,ppg,apg,rpg,spg,bpg,dpoy,mvp,fmvp,allstar,allnba,alldef,ppg_leader,rpg_leader,apg_leader,ws_leader,hof
Matt Williams,2018.0,2018.0,1.67,0.0,0.33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Micheal Williams,1989.0,1999.0,10.98,5.77,2.54,1.74,0.23,0,0,0,0,0,0,0,0,0,0,0
Mike Williams,1990.0,1990.0,0.71,0.1,1.1,0.14,0.33,0,0,0,0,0,0,0,0,0,0,0
Milt Williams,1971.0,1975.0,3.58,1.9,0.89,0.61,0.0,0,0,0,0,0,0,0,0,0,0,0
Mo Williams,2004.0,2016.0,13.15,4.88,2.77,0.88,0.15,0,0,0,1,0,0,0,0,0,0,0
Monty Williams,1995.0,2003.0,6.32,1.19,2.84,0.55,0.3,0,0,0,0,0,0,0,0,0,0,0
Nate Williams,1972.0,1979.0,12.01,1.5,3.85,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0
Patrick Williams,2021.0,2023.0,9.62,1.28,4.33,0.84,0.7,0,0,0,0,0,0,0,0,0,0,0
Pete Williams,1986.0,1987.0,2.64,0.26,2.53,0.33,0.4,0,0,0,0,0,0,0,0,0,0,0
Ray Williams,1978.0,1987.0,15.51,5.77,3.62,1.83,0.32,0,0,0,0,0,0,0,0,0,0,0
Reggie Williams,2010.0,2017.0,7.76,1.46,2.39,0.43,0.06,0,0,0,0,0,0,0,0,0,0,0
Rickey Williams,1983.0,1983.0,3.34,0.84,0.86,0.45,0.09,0,0,0,0,0,0,0,0,0,0,0
Rob Williams,1983.0,1984.0,8.62,5.39,2.16,1.13,0.11,0,0,0,0,0,0,0,0,0,0,0
Robert Williams,2019.0,2023.0,7.38,1.45,6.91,0.71,1.65,0,0,0,0,0,0,0,0,0,0,0
Ron Williams,1969.0,1976.0,9.3,3.52,1.88,0.6,0.03,0,0,0,0,0,0,0,0,0,0,0
Sam Williams,1982.0,1985.0,6.33,0.61,4.46,0.82,1.16,0,0,0,0,0,0,0,0,0,0,0
Scott Williams,1991.0,2005.0,5.13,0.58,4.7,0.53,0.56,0,0,0,0,0,0,0,0,0,0,0
Sean Williams,2008.0,2012.0,4.24,0.34,3.45,0.34,1.18,0,0,0,0,0,0,0,0,0,0,0
Shammond Williams,1999.0,2007.0,5.82,2.35,1.59,0.6,0.04,0,0,0,0,0,0,0,0,0,0,0
Shawne Williams,2007.0,2015.0,5.63,0.7,3.01,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0
Shelden Williams,2007.0,2012.0,4.48,0.45,4.33,0.5,0.45,0,0,0,0,0,0,0,0,0,0,0
Sly Williams,1980.0,1986.0,10.91,1.98,4.22,1.08,0.18,0,0,0,0,0,0,0,0,0,0,0
Terrence Williams,2010.0,2013.0,7.09,2.38,3.56,0.54,0.12,0,0,0,0,0,0,0,0,0,0,0
Travis Williams,1998.0,1999.0,3.21,0.47,2.36,0.43,0.13,0,0,0,0,0,0,0,0,0,0,0
Troy Williams,2017.0,2019.0,5.96,0.72,2.65,0.79,0.31,0,0,0,0,0,0,0,0,0,0,0
Vince Williams Jr,2023.0,2023.0,0.91,0.27,0.64,0.36,0.09,0,0,0,0,0,0,0,0,0,0,0
Walt Williams,1993.0,2003.0,11.84,2.31,3.95,0.93,0.57,0,0,0,0,0,0,0,0,0,0,0
