Season,First team,First team,Second team,Second team
1987–88,Rodney McCray (2),Houston Rockets,Karl Malone*,Utah Jazz
1987–88,Akeem Olajuwon* (3),Houston Rockets,Mark Eaton (4) (tie),Utah Jazz
1987–88,Akeem Olajuwon* (3),Houston Rockets,Patrick Ewing* (tie),New York Knicks
1987–88,Michael Cooper (8),Los Angeles Lakers,Alvin Robertson (3),San Antonio Spurs
1987–88,Michael Jordan*,Chicago Bulls,Lafayette Lever,Denver Nuggets
1988–89,Dennis Rodman*,Detroit Pistons,Kevin McHale* (5),Boston Celtics
1988–89,Larry Nance,Cleveland Cavaliers,A. C. Green,Los Angeles Lakers
1988–89,Mark Eaton (5),Utah Jazz,Patrick Ewing* (2),New York Knicks
1988–89,Michael Jordan* (2),Chicago Bulls,John Stockton*,Utah Jazz
1988–89,Joe Dumars*,Detroit Pistons,Alvin Robertson (4),San Antonio Spurs
1989–90,Dennis Rodman* (2),Detroit Pistons,Kevin McHale* (6),Boston Celtics
1989–90,Buck Williams (2),Portland Trail Blazers,Rick Mahorn,Philadelphia 76ers
1989–90,Akeem Olajuwon* (4),Houston Rockets,David Robinson*,San Antonio Spurs
1989–90,Michael Jordan* (3),Chicago Bulls,Derek Harper (2),Dallas Mavericks
1989–90,Joe Dumars* (2),Detroit Pistons,Alvin Robertson (5),Milwaukee Bucks
1990–91,Michael Jordan* (4),Chicago Bulls,Joe Dumars* (3),Detroit Pistons
1990–91,Alvin Robertson (6),Milwaukee Bucks,John Stockton* (2),Utah Jazz
1990–91,David Robinson* (2),San Antonio Spurs,Hakeem Olajuwon* (5),Houston Rockets
1990–91,Dennis Rodman* (3),Detroit Pistons,Scottie Pippen*,Chicago Bulls
1990–91,Buck Williams (3),Portland Trail Blazers,Dan Majerle,Phoenix Suns
1991–92,Dennis Rodman* (4),Detroit Pistons,Larry Nance (2),Cleveland Cavaliers
1991–92,Scottie Pippen* (2),Chicago Bulls,Buck Williams (4),Portland Trail Blazers
1991–92,David Robinson* (3),San Antonio Spurs,Patrick Ewing* (3),New York Knicks
1991–92,Michael Jordan* (5),Chicago Bulls,John Stockton* (3),Utah Jazz
1991–92,Joe Dumars* (4),Detroit Pistons,Micheal Williams,Indiana Pacers
1992–93,Scottie Pippen* (3),Chicago Bulls,Horace Grant,Chicago Bulls
1992–93,Dennis Rodman* (5),Detroit Pistons,Larry Nance (3),Cleveland Cavaliers
1992–93,Hakeem Olajuwon* (6),Houston Rockets,David Robinson* (4),San Antonio Spurs
1992–93,Michael Jordan* (6),Chicago Bulls,Dan Majerle (2),Phoenix Suns
1992–93,Joe Dumars* (5),Detroit Pistons,John Starks,New York Knicks
1993–94,Scottie Pippen* (4),Chicago Bulls,Dennis Rodman* (6),San Antonio Spurs
1993–94,Charles Oakley,New York Knicks,Horace Grant (2),Chicago Bulls
1993–94,Hakeem Olajuwon* (7),Houston Rockets,David Robinson* (5),San Antonio Spurs
1993–94,Gary Payton*,Seattle SuperSonics,Nate McMillan,Seattle SuperSonics
1993–94,Mookie Blaylock,Atlanta Hawks,Latrell Sprewell,Golden State Warriors
1994–95,Scottie Pippen* (5),Chicago Bulls,Horace Grant (3),Orlando Magic
1994–95,Dennis Rodman* (7),San Antonio Spurs,Derrick McKey,Indiana Pacers
1994–95,David Robinson* (6),San Antonio Spurs,Dikembe Mutombo*,Denver Nuggets
1994–95,Gary Payton* (2),Seattle SuperSonics,John Stockton* (4),Utah Jazz
1994–95,Mookie Blaylock (2),Atlanta Hawks,Nate McMillan (2),Seattle SuperSonics
1995–96,Scottie Pippen* (6),Chicago Bulls,Horace Grant (4),Orlando Magic
1995–96,Dennis Rodman* (8),Chicago Bulls,Derrick McKey (2),Indiana Pacers
1995–96,David Robinson* (7),San Antonio Spurs,Hakeem Olajuwon* (8),Houston Rockets
1995–96,Gary Payton* (3),Seattle SuperSonics,Mookie Blaylock (3),Atlanta Hawks
1995–96,Michael Jordan* (7),Chicago Bulls,Bobby Phills,Cleveland Cavaliers
1996–97,Scottie Pippen* (7),Chicago Bulls,Anthony Mason,Charlotte Hornets
1996–97,Karl Malone* (2),Utah Jazz,P. J. Brown,Miami Heat
1996–97,Dikembe Mutombo* (2),Atlanta Hawks,Hakeem Olajuwon* (9),Houston Rockets
1996–97,Michael Jordan* (8),Chicago Bulls,Mookie Blaylock (4),Atlanta Hawks
