,Player
155,Gary Payton* (5)
156,Michael Jordan* (9)
157,Tim Duncan* (2)
158,Jason Kidd*
159,Alonzo Mourning*
160,Gary Payton* (6)
161,Karl Malone* (4) (tie)
162,Scottie Pippen* (9) (tie)
163,Tim Duncan* (3)
164,Kevin Garnett*
165,Alonzo Mourning* (2)
166,Gary Payton* (7)
167,Kobe Bryant*
168,Tim Duncan* (4)
169,Kevin Garnett* (2)
170,Dikembe Mutombo* (5)
171,Gary Payton* (8)
172,Jason Kidd* (3)
173,Tim Duncan* (5)
174,Kevin Garnett* (3)
175,Ben Wallace*
176,Gary Payton* (9)
177,Jason Kidd* (4)
178,Tim Duncan* (6)
179,Kevin Garnett* (4)
180,Ben Wallace* (2)
181,Doug Christie (3)
182,Kobe Bryant* (4)
183,Ron Artest (2)
184,Kevin Garnett* (5)
185,Ben Wallace* (3)
186,Bruce Bowen (4)
187,Kobe Bryant* (5)
188,Ben Wallace* (4)
189,Kevin Garnett* (6)
190,Bruce Bowen (5)
191,Tim Duncan* (8)
192,Larry Hughes
193,Larry Hughes
194,Bruce Bowen (6)
195,Ben Wallace* (5)
196,Andrei Kirilenko (3)
197,Ron Artest (3)
198,Kobe Bryant* (6) (tie)
